"filename", "language", "TypeScript", "JSON", "HTML", "CSS", "XML", "JavaScript", "SCSS", "comment", "blank", "total"
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\login\login.component.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\login\login.component.html", "HTML", 0, 0, 55, 0, 0, 0, 0, 0, 4, 59
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\login\login.component.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 4, 22, 98
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\base-list.component.html", "HTML", 0, 0, 61, 0, 0, 0, 0, 29, 6, 96
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\base-list.component.ts", "TypeScript", 163, 0, 0, 0, 0, 0, 0, 47, 55, 265
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\base-routing.module.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 8, 3, 113
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\base-table.module.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 2, 67
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\cat-table.component.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 0, 18, 25, 194
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\lib\table-lib.ts", "TypeScript", 201, 0, 0, 0, 0, 0, 0, 18, 35, 254
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\logout.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 2, 9, 22
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\order\order-table.component.css", "CSS", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\order\order-table.component.html", "HTML", 0, 0, 87, 0, 0, 0, 0, 12, 3, 102
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\order\order-table.component.ts", "TypeScript", 162, 0, 0, 0, 0, 0, 0, 20, 29, 211
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\printable.component.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 18, 26, 96
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\prod-table.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\prod-table.component.ts", "TypeScript", 264, 0, 0, 0, 0, 0, 0, 86, 55, 405
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\profile\profile.component.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\profile\profile.component.html", "HTML", 0, 0, 109, 0, 0, 0, 0, 2, 3, 114
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\profile\profile.component.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 1, 9, 45
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\register\register.component.html", "HTML", 0, 0, 53, 0, 0, 0, 0, 0, 1, 54
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\register\register.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\report\report.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\report\report.component.html", "HTML", 0, 0, 60, 0, 0, 0, 0, 0, 6, 66
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\report\report.component.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 6, 22, 97
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\revpash\revpash-table.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\revpash\revpash-table.component.html", "HTML", 0, 0, 39, 0, 0, 0, 0, 1, 3, 43
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\revpash\revpash-table.component.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 6, 15, 71
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\stats\stat.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\stats\stat.component.html", "HTML", 0, 0, 117, 0, 0, 0, 0, 5, 6, 128
"\\wsl$\Ubuntu\home\ror\sbraf2\src\app\prod-table\stats\stat.component.ts", "TypeScript", 164, 0, 0, 0, 0, 0, 0, 27, 34, 225
